Order_ID,Order_Date,Product,Category,Region,Quantity,Price,Total_Sales
1,2024-06-15,Headphones,Accessories,West,3,45150,135450
2,2024-03-07,Laptop,Accessories,East,5,27041,135205
3,2024-08-13,Smartwatch,Electronics,West,4,47394,189576
4,2024-07-22,Mobile,Accessories,North,1,31547,31547
5,2024-04-29,Tablet,Accessories,North,5,33463,167315
6,2024-09-02,Mobile,Accessories,East,2,42170,84340
7,2024-03-27,Smartwatch,Accessories,South,3,23252,69756
8,2024-12-29,Tablet,Accessories,North,1,14815,14815
9,2024-04-28,Laptop,Electronics,North,3,2755,8265
10,2024-01-10,Headphones,Accessories,North,2,18439,36878
11,2024-02-15,Headphones,Accessories,East,3,37802,113406
12,2024-06-10,Tablet,Electronics,South,4,42399,169596
13,2024-01-17,Headphones,Electronics,West,5,40894,204470
14,2024-12-07,Laptop,Accessories,North,2,5194,10388
15,2024-12-31,Tablet,Accessories,East,4,19928,79712
16,2024-05-13,Tablet,Electronics,East,5,29936,149680
17,2024-06-15,Headphones,Accessories,West,4,3256,13024
18,2024-09-16,Smartwatch,Accessories,North,5,30681,153405
19,2024-01-15,Headphones,Accessories,West,4,37659,150636
20,2024-04-18,Laptop,Accessories,South,4,21906,87624
21,2024-07-25,Smartwatch,Electronics,West,4,18192,72768
22,2024-11-21,Laptop,Electronics,West,5,8713,43565
23,2024-08-24,Laptop,Electronics,North,2,17143,34286
24,2024-08-27,Smartwatch,Accessories,East,2,3019,6038
25,2024-09-08,Headphones,Electronics,West,2,9010,18020
26,2024-01-03,Mobile,Accessories,South,3,14855,44565
27,2024-03-07,Headphones,Electronics,South,1,2476,2476
28,2024-07-22,Mobile,Accessories,South,1,2734,2734
29,2024-11-06,Laptop,Electronics,South,1,8801,8801
30,2024-05-14,Smartwatch,Electronics,East,5,2935,14675
31,2024-01-26,Headphones,Accessories,West,1,22418,22418
32,2024-03-05,Tablet,Electronics,West,1,32545,32545
33,2024-06-13,Tablet,Accessories,South,3,1757,5271
34,2024-03-30,Headphones,Accessories,West,2,32980,65960
35,2024-10-04,Mobile,Accessories,North,1,30799,30799
36,2024-11-03,Smartwatch,Accessories,South,2,35356,70712
37,2024-12-30,Smartwatch,Accessories,East,2,44014,88028
38,2024-05-08,Tablet,Accessories,South,1,648,648
39,2024-03-21,Smartwatch,Electronics,East,1,4891,4891
40,2024-11-25,Mobile,Electronics,West,3,17583,52749
41,2024-04-03,Headphones,Accessories,West,4,14452,57808
42,2024-03-13,Laptop,Accessories,West,1,43591,43591
43,2024-01-04,Laptop,Accessories,South,5,16103,80515
44,2024-06-17,Headphones,Accessories,South,1,39646,39646
45,2024-12-17,Mobile,Accessories,North,4,46864,187456
46,2024-12-29,Laptop,Electronics,North,5,22399,111995
47,2024-01-05,Headphones,Accessories,West,3,11724,35172
48,2024-03-28,Mobile,Accessories,West,2,25790,51580
49,2024-12-24,Laptop,Accessories,North,4,20516,82064
50,2024-11-21,Headphones,Accessories,West,5,44367,221835
51,2024-04-12,Laptop,Electronics,South,4,31622,126488
52,2024-03-22,Laptop,Electronics,West,3,8135,24405
53,2024-02-03,Tablet,Accessories,West,2,6242,12484
54,2024-09-04,Tablet,Electronics,West,2,2022,4044
55,2024-11-19,Mobile,Electronics,North,2,26731,53462
56,2024-02-20,Mobile,Accessories,West,5,35287,176435
57,2024-05-15,Tablet,Electronics,North,4,28461,113844
58,2024-11-28,Tablet,Accessories,East,1,35055,35055
59,2024-05-14,Mobile,Electronics,West,1,11164,11164
60,2024-01-21,Smartwatch,Accessories,South,1,1295,1295
61,2024-05-15,Tablet,Accessories,South,4,11962,47848
62,2024-05-04,Mobile,Accessories,West,1,31236,31236
63,2024-03-23,Smartwatch,Accessories,North,4,6438,25752
64,2024-08-22,Headphones,Accessories,North,5,18869,94345
65,2024-04-10,Tablet,Electronics,South,4,11612,46448
66,2024-08-05,Mobile,Accessories,West,3,47552,142656
67,2024-08-24,Mobile,Electronics,East,2,24606,49212
68,2024-07-23,Smartwatch,Electronics,South,1,47830,47830
69,2024-05-27,Smartwatch,Electronics,North,2,34633,69266
70,2024-11-12,Tablet,Accessories,North,1,35596,35596
71,2024-02-13,Smartwatch,Accessories,West,1,29716,29716
72,2024-02-18,Laptop,Accessories,East,4,3685,14740
73,2024-11-27,Headphones,Accessories,North,4,6242,24968
74,2024-08-07,Laptop,Accessories,South,3,9336,28008
75,2024-11-19,Mobile,Electronics,North,4,29077,116308
76,2024-01-25,Headphones,Accessories,West,2,9674,19348
77,2024-03-14,Headphones,Accessories,South,3,32618,97854
78,2024-06-27,Tablet,Accessories,West,1,5067,5067
79,2024-09-18,Laptop,Accessories,West,2,42588,85176
80,2024-11-27,Tablet,Accessories,North,1,7035,7035
81,2024-01-06,Smartwatch,Accessories,West,2,22534,45068
82,2024-06-14,Laptop,Accessories,East,2,23751,47502
83,2024-06-28,Headphones,Accessories,North,3,31927,95781
84,2024-10-25,Laptop,Accessories,South,3,48514,145542
85,2024-02-06,Mobile,Accessories,East,5,44181,220905
86,2024-06-01,Laptop,Accessories,North,5,5958,29790
87,2024-02-17,Smartwatch,Electronics,South,2,27252,54504
88,2024-09-06,Tablet,Accessories,North,1,26300,26300
89,2024-01-15,Mobile,Electronics,South,1,43231,43231
90,2024-02-20,Smartwatch,Electronics,North,4,13217,52868
91,2024-01-15,Headphones,Accessories,East,4,42970,171880
92,2024-04-17,Smartwatch,Accessories,South,1,20802,20802
93,2024-09-05,Headphones,Accessories,East,5,30330,151650
94,2024-05-20,Laptop,Accessories,North,2,41882,83764
95,2024-06-17,Laptop,Accessories,West,2,42528,85056
96,2024-08-16,Laptop,Electronics,West,3,19669,59007
97,2024-05-13,Smartwatch,Electronics,West,5,39378,196890
98,2024-04-13,Mobile,Electronics,East,1,34947,34947
99,2024-05-24,Smartwatch,Accessories,North,4,11116,44464
100,2024-09-04,Laptop,Electronics,North,1,16858,16858
101,2024-05-16,Tablet,Accessories,North,2,24577,49154
102,2024-07-02,Smartwatch,Electronics,East,1,25617,25617
103,2024-05-13,Headphones,Electronics,North,3,35196,105588
104,2024-05-24,Tablet,Electronics,South,5,23201,116005
105,2024-03-06,Smartwatch,Accessories,North,3,3942,11826
106,2024-02-08,Laptop,Electronics,East,2,28985,57970
107,2024-10-24,Headphones,Electronics,West,4,40009,160036
108,2024-08-01,Mobile,Electronics,South,1,45335,45335
109,2024-01-23,Mobile,Electronics,West,1,37019,37019
110,2024-08-19,Tablet,Accessories,North,1,34905,34905
111,2024-10-13,Headphones,Accessories,East,2,6718,13436
112,2024-12-27,Headphones,Electronics,West,3,899,2697
113,2024-06-11,Headphones,Electronics,West,3,29762,89286
114,2024-09-29,Laptop,Accessories,South,2,40485,80970
115,2024-09-13,Mobile,Accessories,South,4,23682,94728
116,2024-03-30,Tablet,Accessories,East,1,24914,24914
117,2024-10-19,Tablet,Electronics,South,1,4626,4626
118,2024-05-28,Headphones,Accessories,East,1,31591,31591
119,2024-01-14,Smartwatch,Accessories,North,4,35438,141752
120,2024-03-23,Smartwatch,Electronics,North,2,42062,84124
121,2024-08-29,Smartwatch,Electronics,North,3,49438,148314
122,2024-05-31,Tablet,Electronics,South,4,21854,87416
123,2024-12-17,Smartwatch,Accessories,West,5,861,4305
124,2024-03-27,Laptop,Accessories,North,1,33132,33132
125,2024-11-21,Mobile,Accessories,South,5,42599,212995
126,2024-02-13,Headphones,Electronics,North,4,47273,189092
127,2024-03-19,Smartwatch,Electronics,South,4,45228,180912
128,2024-12-16,Mobile,Accessories,North,2,39911,79822
129,2024-11-08,Tablet,Electronics,South,1,17053,17053
130,2024-07-18,Mobile,Accessories,West,4,47675,190700
131,2024-01-31,Mobile,Accessories,North,3,48568,145704
132,2024-12-11,Smartwatch,Accessories,East,4,12639,50556
133,2024-10-07,Laptop,Accessories,South,4,44268,177072
134,2024-12-04,Mobile,Electronics,South,2,1776,3552
135,2024-07-25,Smartwatch,Electronics,South,3,35718,107154
136,2024-12-18,Laptop,Electronics,South,5,12598,62990
137,2024-09-26,Mobile,Electronics,South,2,12651,25302
138,2024-06-27,Laptop,Accessories,West,4,37873,151492
139,2024-01-05,Laptop,Accessories,East,3,48427,145281
140,2024-04-13,Smartwatch,Accessories,East,1,45099,45099
141,2024-12-21,Mobile,Accessories,West,1,16189,16189
142,2024-06-15,Smartwatch,Electronics,North,2,42155,84310
143,2024-12-06,Mobile,Electronics,North,4,41323,165292
144,2024-04-14,Laptop,Electronics,West,5,32252,161260
145,2024-11-18,Laptop,Accessories,West,2,39868,79736
146,2024-08-14,Laptop,Electronics,North,3,3581,10743
147,2024-07-02,Laptop,Accessories,South,1,33698,33698
148,2024-04-14,Laptop,Accessories,North,5,38271,191355
149,2024-10-11,Tablet,Accessories,South,2,23390,46780
150,2024-07-02,Laptop,Electronics,North,5,43934,219670
151,2024-09-22,Tablet,Accessories,West,2,24391,48782
152,2024-11-26,Smartwatch,Electronics,East,3,31047,93141
153,2024-08-31,Headphones,Electronics,West,1,36898,36898
154,2024-05-24,Tablet,Electronics,South,2,24059,48118
155,2024-03-22,Laptop,Electronics,South,1,22503,22503
156,2024-03-31,Headphones,Accessories,West,2,47803,95606
157,2024-06-19,Mobile,Accessories,North,5,4268,21340
158,2024-08-17,Laptop,Accessories,North,3,49271,147813
159,2024-03-27,Mobile,Electronics,North,1,4771,4771
160,2024-07-21,Laptop,Accessories,South,2,15374,30748
161,2024-10-19,Laptop,Accessories,East,2,47462,94924
162,2024-04-01,Laptop,Electronics,West,2,31100,62200
163,2024-02-17,Tablet,Electronics,North,2,39120,78240
164,2024-07-03,Headphones,Accessories,South,3,6444,19332
165,2024-12-12,Headphones,Accessories,West,1,43811,43811
166,2024-11-11,Headphones,Accessories,West,2,7705,15410
167,2024-05-27,Headphones,Electronics,West,5,43335,216675
168,2024-07-31,Mobile,Accessories,North,5,33483,167415
169,2024-01-05,Laptop,Accessories,East,3,39454,118362
170,2024-03-01,Tablet,Accessories,North,5,49903,249515
171,2024-09-06,Smartwatch,Accessories,South,1,9053,9053
172,2024-05-26,Mobile,Accessories,West,3,30408,91224
173,2024-06-11,Smartwatch,Electronics,East,1,7331,7331
174,2024-11-25,Tablet,Accessories,South,5,47623,238115
175,2024-11-10,Smartwatch,Electronics,East,1,21010,21010
176,2024-02-19,Tablet,Electronics,North,5,25033,125165
177,2024-03-21,Laptop,Electronics,West,3,6243,18729
178,2024-04-07,Smartwatch,Electronics,South,5,28776,143880
179,2024-03-23,Smartwatch,Electronics,West,2,5183,10366
180,2024-02-27,Smartwatch,Accessories,West,1,30801,30801
181,2024-12-06,Mobile,Accessories,South,2,18134,36268
182,2024-07-04,Headphones,Electronics,South,2,43557,87114
183,2024-05-20,Mobile,Electronics,North,3,45543,136629
184,2024-12-24,Mobile,Accessories,West,2,45155,90310
185,2024-02-27,Smartwatch,Electronics,West,1,21701,21701
186,2024-12-20,Laptop,Accessories,North,3,12660,37980
187,2024-10-31,Headphones,Accessories,East,4,15290,61160
188,2024-01-04,Laptop,Electronics,East,3,41168,123504
189,2024-06-27,Laptop,Accessories,West,5,43882,219410
190,2024-05-09,Smartwatch,Electronics,South,2,36094,72188
191,2024-04-24,Headphones,Electronics,East,5,43860,219300
192,2024-10-03,Headphones,Accessories,South,1,1100,1100
193,2024-08-13,Smartwatch,Electronics,West,1,47556,47556
194,2024-08-04,Laptop,Accessories,North,3,34091,102273
195,2024-10-10,Smartwatch,Electronics,South,2,1969,3938
196,2024-04-08,Tablet,Electronics,South,1,18622,18622
197,2024-01-16,Tablet,Accessories,West,1,27034,27034
198,2024-01-10,Headphones,Electronics,West,3,24001,72003
199,2024-09-11,Laptop,Accessories,South,1,32241,32241
200,2024-05-05,Mobile,Electronics,North,3,14903,44709
201,2024-07-07,Tablet,Electronics,East,5,21483,107415
202,2024-10-01,Mobile,Accessories,East,3,10248,30744
203,2024-01-10,Laptop,Electronics,South,2,37260,74520
204,2024-07-27,Headphones,Electronics,North,4,32736,130944
205,2024-03-28,Smartwatch,Accessories,South,5,3161,15805
206,2024-07-22,Smartwatch,Accessories,North,2,3382,6764
207,2024-05-04,Mobile,Accessories,South,4,5042,20168
208,2024-05-18,Tablet,Accessories,West,4,33337,133348
209,2024-09-26,Headphones,Accessories,West,2,16945,33890
210,2024-09-19,Laptop,Accessories,East,1,11185,11185
211,2024-12-16,Tablet,Accessories,East,5,29675,148375
